not-plant	plant
136,179,251	69,99,34
140,178,249	69,99,34
137,179,248	60,96,35
133,177,246	60,96,35
129,171,244	61,94,35
125,169,243	61,94,35
129,178,243	71,94,31
132,179,244	71,94,31
138,185,253	155,138,91
137,183,250	159,139,96
137,185,248	159,139,96
136,179,246	149,137,97
136,175,246	149,137,97
134,177,246	158,138,93
132,180,242	158,138,93
128,171,237	150,141,106
125,163,243	150,141,106
129,176,249	148,138,110
133,185,250	148,138,110
142,182,251	30,36,16
142,179,253	34,36,19
141,179,250	34,36,19
136,176,247	33,39,17
131,178,248	33,39,17
131,175,249	32,41,19
130,178,245	32,41,19
127,170,241	40,43,19
124,175,244	40,43,19
129,178,248	37,45,20
133,180,249	37,45,20
138,183,249	45,69,26
138,178,255	40,69,23
138,176,252	40,69,23
137,179,248	42,71,29
137,184,250	42,71,29
133,180,251	44,72,27
129,185,248	44,72,27
130,181,244	41,70,26
131,189,245	41,70,26
131,182,246	43,72,26
132,180,248	43,72,26
133,176,248	32,45,16
134,174,249	31,45,15
134,178,248	31,45,15
139,181,248	31,47,17
143,180,247	31,47,17
136,176,247	27,47,15
128,180,248	27,47,15
133,180,249	29,44,18
137,185,247	29,44,18
134,181,245	28,46,18
130,182,249	28,46,18
134,174,247	87,118,26
132,176,243	87,117,30
130,182,245	87,117,30
134,179,247	89,114,29
137,180,245	89,114,29
134,178,242	78,107,24
132,178,248	78,107,24
132,179,254	82,103,29
132,188,249	82,103,29
131,184,244	70,104,30
130,185,250	70,104,30
134,177,247	72,103,36
130,172,245	62,96,38
126,176,248	62,96,38
129,174,251	63,90,36
131,179,250	63,90,36
133,177,249	62,97,34
135,176,250	62,97,34
131,170,252	64,97,37
127,180,250	64,97,37
128,180,248	76,100,41
129,184,250	76,100,41
133,179,247	163,143,100
129,174,247	171,147,104
125,176,251	171,147,104
131,180,255	166,149,98
137,184,255	166,149,98
136,180,255	163,146,104
135,180,253	163,146,104
133,177,250	152,143,101
131,180,251	152,143,101
130,180,251	142,132,95
130,186,251	142,132,95
132,173,243	31,31,22
128,168,241	34,32,17
123,177,247	34,32,17
133,185,254	33,35,17
143,183,252	33,35,17
139,178,250	31,39,18
135,180,250	31,39,18
135,176,250	37,41,18
134,176,248	37,41,18
132,174,247	37,39,23
130,180,248	37,39,23
127,170,240	47,68,27
127,171,234	47,70,29
127,177,243	47,70,29
131,180,252	43,69,29
135,186,249	43,69,29
135,181,245	41,67,28
135,185,248	41,67,28
135,178,250	42,70,28
134,175,246	42,70,28
131,176,242	47,70,30
127,184,245	47,70,30
122,169,239	32,45,16
126,167,238	31,45,15
130,176,244	31,45,15
129,172,251	31,47,17
127,179,248	31,47,17
131,176,245	27,47,15
135,177,245	27,47,15
135,177,245	29,44,18
134,173,246	29,44,18
129,170,248	28,46,18
124,177,249	28,46,18
114,120,113	87,118,26
105,109,105	87,117,30
95,103,98	87,117,30
92,94,92	89,114,29
89,94,89	89,114,29
89,94,87	78,107,24
89,91,83	78,107,24
84,84,79	82,103,29
78,74,70	82,103,29
68,66,61	70,104,30
58,66,62	70,104,30
107,82,36	72,103,36
111,82,36	62,96,38
114,83,37	62,96,38
116,88,37	63,90,36
118,84,39	63,90,36
99,79,40	62,97,34
79,61,34	62,97,34
59,50,28	64,97,37
39,30,21	64,97,37
35,21,15	76,100,41
31,23,14	76,100,41
121,124,116	163,143,100
112,115,106	171,147,104
102,108,100	171,147,104
96,101,93	166,149,98
90,97,90	166,149,98
89,94,87	163,146,104
89,93,89	163,146,104
85,88,91	152,143,101
81,81,78	152,143,101
72,73,64	142,132,95
63,63,62	142,132,95
114,86,37	31,31,22
116,83,39	34,32,17
117,86,36	34,32,17
116,84,33	33,35,17
115,85,37	33,35,17
105,83,41	31,39,18
95,78,36	31,39,18
71,55,31	37,41,18
47,29,24	37,41,18
40,26,16	37,39,23
33,27,14	37,39,23
128,132,122	47,68,27
119,120,110	47,70,29
109,112,104	47,70,29
100,103,98	43,69,29
90,99,93	43,69,29
90,91,88	41,67,28
89,94,88	41,67,28
86,92,89	42,70,28
83,86,79	42,70,28
76,80,68	47,70,30
68,71,63	47,70,30
121,79,30	27,43,16
121,79,31	26,46,15
120,78,31	26,46,15
116,77,32	27,48,18
112,83,35	27,48,18
112,88,39	33,47,18
111,79,37	33,47,18
83,63,34	33,48,18
54,41,24	33,48,18
44,25,15	29,48,19
34,23,13	29,48,19
135,137,129	95,125,27
126,128,113	93,125,33
117,116,108	93,125,33
106,110,103	88,121,29
96,104,96	88,121,29
92,98,88	84,116,29
89,98,88	84,116,29
88,94,87	79,112,30
87,91,80	79,112,30
80,84,72	81,111,26
73,75,65	81,111,26
116,70,24	73,102,34
115,73,22	66,95,29
114,70,26	66,95,29
115,76,30	75,97,38
117,82,34	75,97,38
117,88,37	82,105,37
118,86,37	82,105,37
94,72,37	81,113,42
70,48,25	81,113,42
52,33,13	81,109,47
35,20,11	81,109,47
141,144,131	173,145,105
133,138,123	168,147,99
124,124,115	168,147,99
113,115,108	178,151,107
101,108,101	178,151,107
95,99,95	164,143,112
89,97,91	164,143,112
90,96,86	161,140,102
90,92,84	161,140,102
84,88,82	146,131,94
77,79,71	146,131,94
111,71,25	30,31,19
109,74,25	32,28,18
107,73,27	32,28,18
114,75,30	29,33,17
121,84,35	29,33,17
123,95,39	35,38,18
124,90,37	35,38,18
105,90,35	35,39,16
86,63,28	35,39,16
61,40,21	34,40,20
35,26,15	34,40,20
136,147,134	47,74,24
130,138,132	46,71,28
125,127,122	46,71,28
116,121,112	43,69,31
107,115,107	43,69,31
102,105,102	43,69,28
96,96,94	43,69,28
92,95,85	48,65,27
88,93,89	48,65,27
85,88,92	45,70,27
83,84,78	45,70,27
112,71,27	27,43,16
112,74,27	26,46,15
113,72,29	26,46,15
118,78,30	27,48,18
123,85,36	27,48,18
121,89,41	33,47,18
120,88,37	33,47,18
106,83,32	33,48,18
92,75,31	33,48,18
69,52,29	29,48,19
46,31,18	29,48,19
130,144,138	95,125,27
128,141,141	93,125,33
126,135,128	93,125,33
120,125,115	88,121,29
113,116,109	88,121,29
108,110,104	84,116,29
103,102,96	84,116,29
94,96,89	79,112,30
85,92,89	79,112,30
87,88,89	81,111,26
89,86,81	81,111,26
113,75,32	73,102,34
116,78,33	66,95,29
118,78,30	66,95,29
121,80,28	75,97,38
124,81,32	75,97,38
120,88,37	82,105,37
115,85,37	82,105,37
107,79,37	81,113,42
98,73,35	81,113,42
78,60,33	81,109,47
57,37,20	81,109,47
135,142,143	173,145,105
134,145,149	168,147,99
134,145,133	168,147,99
127,132,117	178,151,107
120,115,111	178,151,107
113,111,105	164,143,112
105,104,99	164,143,112
97,100,92	161,140,102
88,92,89	161,140,102
89,92,85	146,131,94
89,91,84	146,131,94
116,77,37	30,31,19
119,81,38	32,28,18
123,83,32	32,28,18
121,77,26	29,33,17
119,72,29	29,33,17
117,80,32	35,38,18
115,84,37	35,38,18
108,82,42	35,39,16
102,77,39	35,39,16
80,63,36	34,40,20
59,40,23	34,40,20
139,144,140	47,74,24
140,150,143	46,71,28
141,149,137	46,71,28
134,144,130	43,69,31
127,128,118	43,69,31
117,115,106	43,69,28
107,110,100	43,69,28
99,106,95	48,65,27
91,100,89	48,65,27
90,96,83	45,70,27
89,93,83	45,70,27
119,79,34	32,42,18
123,85,33	31,46,16
127,77,30	31,46,16
120,73,28	34,45,18
113,73,31	34,45,18
114,77,33	30,44,16
114,82,35	30,44,16
110,86,38	29,43,23
106,74,33	29,43,23
83,73,28	31,44,20
60,39,18	31,44,20
135,142,138	95,127,28
138,150,137	98,125,30
141,158,140	98,125,30
139,149,143	93,129,27
137,136,125	93,129,27
124,124,106	90,120,28
111,115,102	90,120,28
104,110,97	86,118,28
97,105,89	86,118,28
93,98,81	87,115,26
90,92,82	87,115,26
116,73,32	72,107,39
117,75,27	81,106,38
118,68,29	81,106,38
114,72,30	82,106,44
111,71,32	82,106,44
111,76,34	88,109,37
112,81,34	88,109,37
100,72,33	89,117,50
88,60,27	89,117,50
67,46,20	84,110,48
47,26,14	84,110,48
131,142,135	173,151,106
136,149,136	167,152,109
141,152,141	167,152,109
144,156,146	169,151,114
146,146,134	169,151,114
131,131,121	154,146,109
115,122,111	154,146,109
109,115,101	150,138,105
102,107,94	150,138,105
96,100,87	134,121,91
90,95,87	134,121,91
112,76,32	32,35,20
110,73,29	25,27,15
108,74,31	25,27,15
108,77,34	29,31,18
108,75,34	29,31,18
109,76,35	35,33,17
109,68,28	35,33,17
89,60,22	32,39,17
69,42,18	32,39,17
52,26,13	30,40,17
34,21,12	30,40,17
	40,71,26
	36,68,28
	36,68,28
	40,67,27
	40,67,27
	42,70,27
	42,70,27
	44,67,30
	44,67,30
	45,71,30
	45,71,30
	32,42,18
	31,46,16
	31,46,16
	34,45,18
	34,45,18
	30,44,16
	30,44,16
	29,43,23
	29,43,23
	31,44,20
	31,44,20
	95,127,28
	98,125,30
	98,125,30
	93,129,27
	93,129,27
	90,120,28
	90,120,28
	86,118,28
	86,118,28
	87,115,26
	87,115,26
	72,107,39
	81,106,38
	81,106,38
	82,106,44
	82,106,44
	88,109,37
	88,109,37
	89,117,50
	89,117,50
	84,110,48
	84,110,48
	173,151,106
	167,152,109
	167,152,109
	169,151,114
	169,151,114
	154,146,109
	154,146,109
	150,138,105
	150,138,105
	134,121,91
	134,121,91
	32,35,20
	25,27,15
	25,27,15
	29,31,18
	29,31,18
	35,33,17
	35,33,17
	32,39,17
	32,39,17
	30,40,17
	30,40,17
	40,71,26
	36,68,28
	36,68,28
	40,67,27
	40,67,27
	42,70,27
	42,70,27
	44,67,30
	44,67,30
	45,71,30
	45,71,30
	28,44,17
	35,48,18
	35,48,18
	30,45,18
	30,45,18
	29,45,18
	29,45,18
	31,44,17
	31,44,17
	29,46,17
	29,46,17
	96,126,30
	98,127,28
	98,127,28
	96,125,27
	96,125,27
	94,122,27
	94,122,27
	95,123,26
	95,123,26
	87,117,28
	87,117,28
	59,91,37
	60,91,40
	60,91,40
	62,92,45
	62,92,45
	68,99,48
	68,99,48
	75,96,46
	75,96,46
	70,101,48
	70,101,48
	170,152,113
	171,154,113
	171,154,113
	170,152,114
	170,152,114
	152,144,109
	152,144,109
	138,131,95
	138,131,95
	122,113,88
	122,113,88
	31,39,18
	28,32,20
	28,32,20
	25,28,18
	25,28,18
	31,34,18
	31,34,18
	35,36,15
	35,36,15
	34,35,19
	34,35,19
	44,67,28
	47,70,27
	47,70,27
	47,72,30
	47,72,30
	46,70,30
	46,70,30
	42,70,31
	42,70,31
	46,73,27
	46,73,27
	28,44,17
	35,48,18
	35,48,18
	30,45,18
	30,45,18
	29,45,18
	29,45,18
	31,44,17
	31,44,17
	29,46,17
	29,46,17
	96,126,30
	98,127,28
	98,127,28
	96,125,27
	96,125,27
	94,122,27
	94,122,27
	95,123,26
	95,123,26
	87,117,28
	87,117,28
	59,91,37
	60,91,40
	60,91,40
	62,92,45
	62,92,45
	68,99,48
	68,99,48
	75,96,46
	75,96,46
	70,101,48
	70,101,48
	170,152,113
	171,154,113
	171,154,113
	170,152,114
	170,152,114
	152,144,109
	152,144,109
	138,131,95
	138,131,95
	122,113,88
	122,113,88
	31,39,18
	28,32,20
	28,32,20
	25,28,18
	25,28,18
	31,34,18
	31,34,18
	35,36,15
	35,36,15
	34,35,19
	34,35,19
	44,67,28
	47,70,27
	47,70,27
	47,72,30
	47,72,30
	46,70,30
	46,70,30
	42,70,31
	42,70,31
	46,73,27
	46,73,27
	
